shortname: benhoyt_goawk-BuiltinGsubAmpersand
EachListItemWithAlloc,6.159500000000001e-05,2%,0.00014014,20%,+127.52%,p=0.008 n=5,0.000137627,1%,+123.44%,p=0.008 n=5
geomean,6.1595e-05,,0.00014014000000000002,,+127.52%,,0.00013762699999999998,,+123.44%,

shortname: k8s_workqueue-DelayingQueue_AddAfter
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
DelayingQueue_AddAfter,2.4790000000000003e-06,4%,8.09e-06,14%,+226.34%,p=0.008 n=5,7.288e-06,10%,+193.99%,p=0.008 n=5
geomean,2.479000000000002e-06,,8.089999999999997e-06,,+226.34%,,7.288000000000006e-06,,+193.99%,

shortname: kanzi-ANS0
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ANS0,0.0019254010000000002,1%,0.003995708000000001,0%,+107.53%,p=0.008 n=5,0.0038109270000000004,0%,+97.93%,p=0.008 n=5
geomean,0.0019254009999999995,,0.003995708000000002,,+107.53%,,0.003810927000000001,,+97.93%,

shortname: kanzi-BWTSmallBlock
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BWTSmallBlock,0.033964430000000004,0%,0.042486078000000004,1%,+25.09%,p=0.008 n=5,0.036059009,1%,+6.17%,p=0.008 n=5
geomean,0.033964430000000004,,0.04248607800000001,,+25.09%,,0.03605900900000001,,+6.17%,

shortname: kanzi-CM
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CM,0.039664448000000005,0%,0.053300513,1%,+34.38%,p=0.008 n=5,0.043079621000000005,0%,+8.61%,p=0.008 n=5
geomean,0.039664448,,0.053300512999999994,,+34.38%,,0.043079621000000005,,+8.61%,

shortname: kanzi-Huffman
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Huffman,0.00159775,0%,0.0041775350000000004,0%,+161.46%,p=0.008 n=5,0.003942831,0%,+146.77%,p=0.008 n=5
geomean,0.00159775,,0.0041775350000000004,,+161.46%,,0.003942831000000001,,+146.77%,

shortname: nelsam_gxui_interval-General
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
General,2.7089999999999997e-07,1%,1.1830000000000002e-06,1%,+336.69%,p=0.008 n=5,1.128e-06,1%,+316.39%,p=0.008 n=5
geomean,2.7089999999999997e-07,,1.1830000000000002e-06,,+336.69%,,1.1279999999999992e-06,,+316.39%,

shortname: rcrowley_metrics-Histogram
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Histogram,1.8730000000000003e-08,0%,1.1190000000000002e-07,0%,+497.44%,p=0.008 n=5,9.517000000000001e-08,1%,+408.12%,p=0.008 n=5
geomean,1.8729999999999986e-08,,1.1190000000000003e-07,,+497.44%,,9.517000000000009e-08,,+408.12%,

shortname: rcrowley_metrics-Timer
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Timer,2.337e-07,1%,7.047000000000001e-07,2%,+201.54%,p=0.008 n=5,6.174e-07,1%,+164.18%,p=0.008 n=5
geomean,2.3369999999999998e-07,,7.047000000000006e-07,,+201.54%,,6.174000000000004e-07,,+164.18%,

shortname: semver-CheckVersionRange
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CheckVersionRange,4.569e-08,0%,9.025e-08,4%,+97.53%,p=0.008 n=5,9.098000000000001e-08,1%,+99.12%,p=0.008 n=5
geomean,4.568999999999996e-08,,9.025000000000002e-08,,+97.53%,,9.098000000000013e-08,,+99.12%,

shortname: semver-CoerceNewVersionSimple
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CoerceNewVersionSimple,1.42e-07,1%,5.025000000000001e-07,1%,+253.87%,p=0.008 n=5,4.382e-07,2%,+208.59%,p=0.008 n=5
geomean,1.42e-07,,5.025e-07,,+253.87%,,4.382000000000002e-07,,+208.59%,

shortname: semver-ValidateVersionRangeFail
,Go,,LLGo,,,,LLGoFullLTO,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
ValidateVersionRangeFail,5.967e-07,2%,2.516e-06,0%,+321.65%,p=0.008 n=5,2.278e-06,0%,+281.77%,p=0.008 n=5
geomean,5.967000000000001e-07,,2.515999999999999e-06,,+321.65%,,2.2780000000000013e-06,,+281.77%,

shortname: shopify_sarama-ZstdMemoryConsumption%2Fno_drain
,Go,,LLGo,,,,LLGoFullLTO,,,
